"Faq","Faq"
"FAQ","FAQ"
"Home Page","Home Page"
"Question not found","Question not found"
"Frequently Asked Questions","Frequently Asked Questions"
"There are no  available questions.","There are no  available questions."
"Sorry... Question not found.","Sorry... Question not found."
"Plumrocket","Plumrocket"
"Manage FAQ","Manage FAQ"
"This faq no longer exists.","This faq no longer exists."
"New Faq","New Faq"
"FAQ was successfully saved","FAQ was successfully saved"
"Faq was deleted successfully!","Faq was deleted successfully!"
"Unable to find a faq to delete.","Unable to find a faq to delete."
"Please select faq(s).","Please select faq(s)."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"General","General"
"Enable FAQ","Enable FAQ"
"Add New Faq","Add New Faq"
"Title","Titleeee"
"Status","Status"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"New Faq","New Faq"
"Edit Faq '%s'","Edit Faq '%s'"
"Faq Information","Faq Information"
"Faq Title","Faq Title"
"Content","Content"
